artist,album,track
Mitski,Bury Me At Makeout Creek,I Will
Tori Amos,The Light Princess,Coronation
Björk,"Vulnicura Strings (Vulnicura: The Acoustic Version - Strings , Voice and Viola Organista Only)",Family
The Family Party Song Singers,Let's Celebrate the Day of Your Birth!,Happy Birthday Jen
Jidenna,The Let Out (feat. Quavo),The Let Out (feat. Quavo)
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Don't Cost Nothing (Reprise)
American Football,American Football,Never Meant
Taylor Swift,reputation,I Did Something Bad
T.I.,Us Or Else: Letter To The System,I Swear
Jidenna,The Chief,Adaora
Mitski,Puberty 2,Once More to See You
Nirvana,In Utero - 20th Anniversary Remaster,All Apologies
Champagne Jerry,Cj Flow (feat. Kathleen Hanna),Cj Flow (feat. Kathleen Hanna)
Mitski,Puberty 2,Crack Baby
Mitski,Be the Cowboy,Lonesome Love
Mitski,Bury Me At Makeout Creek,Carry Me Out
TV On The Radio,Young Liars,Young Liars
Run The Jewels,Run the Jewels 3,Panther Like a Panther (Miracle Mix) [feat. Trina]
Goodie Mob,Age Against The Machine,Pinstripes (feat. T.I.)
Björk,Vespertine,Heirloom
Steven Universe,"Steven Universe, Vol. 1 (Original Soundtrack)",Love Like You (End Credits)
Cardi B,Invasion of Privacy,Thru Your Phone
Mirah,Changing Light,Fleetfoot Ghost
Beirut,The Flying Club Cup,Forks and Knives (La Fête)
Björk,Utopia,Claimstaker
Mitski,Bury Me At Makeout Creek,Last Words of a Shooting Star
Sango,In The Comfort Of,Rude (feat. Jean Deaux)
Björk,Vulnicura,Atom Dance
Tori Amos,The Light Princess,Drought
Beirut,The Flying Club Cup,In the Mausoleum
Mitski,"Retired from Sad, New Career in Business",Square
Lotte Kestner,The Bluebird of Happiness,Invention
T.I.,Us Or Else: Letter To The System,Here We Go / Don't Fall For That
Nirvana,MTV Unplugged In New York,Jesus Doesn't Want Me For A Sunbeam
Sango,In The Comfort Of,On Me (feat. Jon Bap)
Murder By Death,Red of Tooth and Claw,Ash
Tori Amos,The Light Princess,No H20
Mitski,"Retired from Sad, New Career in Business",I Want You
Run The Jewels,Run the Jewels 3,Everybody Stay Calm
Mitski,"Retired from Sad, New Career in Business","Because Dreaming Costs Money, My Dear"
Kali Uchis,Isolation,Miami (feat. BIA)
DJ Icey,The Funky Breaks,Grand Canyon Suite
Dirty Projectors,Mount Wittenberg Orca,No Embrace
Björk,"Vulnicura Strings (Vulnicura: The Acoustic Version - Strings , Voice and Viola Organista Only)",Mouth Mantra
Sango,In The Comfort Of,Life Without God Is Nothing
DJ Icey,The Funky Breaks,Beats-A-Rockin
Big K.R.I.T.,TDT,Glorious
Lotte Kestner,The Bluebird of Happiness,Eggshell
Cardi B,Invasion of Privacy,Bodak Yellow
